time;nb_octet;file;size;rtt
64.0;604880;data_0.tr;0;1
65.0;604480;data_0.tr;0;1
66.0;604440;data_0.tr;0;1
67.0;604840;data_0.tr;0;1
68.0;534480;data_0.tr;0;1
69.0;554600;data_0.tr;0;1
70.0;524280;data_0.tr;0;1
71.0;604520;data_0.tr;0;1
72.0;534200;data_0.tr;0;1
73.0;554600;data_0.tr;0;1
74.0;584720;data_0.tr;0;1
75.0;544160;data_0.tr;0;1
76.0;604440;data_0.tr;0;1
77.0;605560;data_0.tr;0;1
78.0;624880;data_0.tr;0;1
79.0;584040;data_0.tr;0;1
80.0;604840;data_0.tr;0;1
81.0;806760;data_0.tr;0;1
82.0;705480;data_0.tr;0;1
83.0;504360;data_0.tr;0;1
84.0;614880;data_0.tr;0;1
85.0;594080;data_0.tr;0;1
86.0;604920;data_0.tr;0;1
87.0;504160;data_0.tr;0;1
88.0;504040;data_0.tr;0;1
89.0;604520;data_0.tr;0;1
90.0;604640;data_0.tr;0;1
91.0;444160;data_0.tr;0;1
92.0;564400;data_0.tr;0;1
93.0;604480;data_0.tr;0;1
94.0;604560;data_0.tr;0;1
95.0;424080;data_0.tr;0;1
96.0;614840;data_0.tr;0;1
97.0;574080;data_0.tr;0;1
98.0;604960;data_0.tr;0;1
99.0;605120;data_0.tr;0;1
100.0;604440;data_0.tr;0;1
101.0;604480;data_0.tr;0;1
102.0;604920;data_0.tr;0;1
103.0;423960;data_0.tr;0;1
104.0;584640;data_0.tr;0;1
105.0;604160;data_0.tr;0;1
106.0;454120;data_0.tr;0;1
107.0;665040;data_0.tr;0;1
108.0;494160;data_0.tr;0;1
109.0;604600;data_0.tr;0;1
110.0;625280;data_0.tr;0;1
111.0;584520;data_0.tr;0;1
112.0;604400;data_0.tr;0;1
113.0;403800;data_0.tr;0;1
114.0;725280;data_0.tr;0;1
115.0;534520;data_0.tr;0;1
116.0;554080;data_0.tr;0;1
117.0;604520;data_0.tr;0;1
118.0;584720;data_0.tr;0;1
119.0;434120;data_0.tr;0;1
120.0;594720;data_0.tr;0;1
121.0;604240;data_0.tr;0;1
122.0;403720;data_0.tr;0;1
123.0;604800;data_0.tr;0;1
124.0;604800;data_0.tr;0;1
125.0;604680;data_0.tr;0;1
126.0;584120;data_0.tr;0;1
127.0;423800;data_0.tr;0;1
128.0;604760;data_0.tr;0;1
129.0;604840;data_0.tr;0;1
130.0;604520;data_0.tr;0;1
131.0;443920;data_0.tr;0;1
132.0;564040;data_0.tr;0;1
133.0;806600;data_0.tr;0;1
134.0;806040;data_0.tr;0;1
135.0;605000;data_0.tr;0;1
136.0;604680;data_0.tr;0;1
137.0;403880;data_0.tr;0;1
138.0;604680;data_0.tr;0;1
139.0;604480;data_0.tr;0;1
140.0;604520;data_0.tr;0;1
141.0;403760;data_0.tr;0;1
142.0;604480;data_0.tr;0;1
143.0;605000;data_0.tr;0;1
144.0;604360;data_0.tr;0;1
145.0;454120;data_0.tr;0;1
146.0;554080;data_0.tr;0;1
147.0;604920;data_0.tr;0;1
148.0;604480;data_0.tr;0;1
149.0;424000;data_0.tr;0;1
150.0;584520;data_0.tr;0;1
151.0;604200;data_0.tr;0;1
152.0;604800;data_0.tr;0;1
153.0;514440;data_0.tr;0;1
154.0;494200;data_0.tr;0;1
155.0;604240;data_0.tr;0;1
156.0;424000;data_0.tr;0;1
157.0;634920;data_0.tr;0;1
158.0;634920;data_0.tr;0;1
159.0;524200;data_0.tr;0;1
160.0;604560;data_0.tr;0;1
161.0;403720;data_0.tr;0;1
162.0;634920;data_0.tr;0;1
163.0;634920;data_0.tr;0;1
164.0;544080;data_0.tr;0;1
165.0;604480;data_0.tr;0;1
166.0;403680;data_0.tr;0;1
167.0;604440;data_0.tr;0;1
168.0;423960;data_0.tr;0;1
169.0;624880;data_0.tr;0;1
170.0;564520;data_0.tr;0;1
171.0;604480;data_0.tr;0;1
172.0;403560;data_0.tr;0;1
173.0;604680;data_0.tr;0;1
174.0;604960;data_0.tr;0;1
175.0;604200;data_0.tr;0;1
176.0;464080;data_0.tr;0;1
177.0;544080;data_0.tr;0;1
